sample	cancer_type	sample_type	expression
TCGA-05-4244-01	LUAD	Primary Tumor	7.02
TCGA-05-4249-01	LUAD	Primary Tumor	6.17
TCGA-05-4250-01	LUAD	Primary Tumor	5.88
TCGA-05-4382-01	LUAD	Primary Tumor	5.57
TCGA-05-4384-01	LUAD	Primary Tumor	6.13
TCGA-05-4389-01	LUAD	Primary Tumor	5.81
TCGA-05-4390-01	LUAD	Primary Tumor	5.53
TCGA-05-4395-01	LUAD	Primary Tumor	4.18
TCGA-05-4396-01	LUAD	Primary Tumor	6.31
TCGA-05-4397-01	LUAD	Primary Tumor	4.79
TCGA-05-4398-01	LUAD	Primary Tumor	7.19
TCGA-05-4402-01	LUAD	Primary Tumor	5.74
TCGA-05-4403-01	LUAD	Primary Tumor	5.6
TCGA-05-4405-01	LUAD	Primary Tumor	6.98
TCGA-05-4410-01	LUAD	Primary Tumor	5.98
TCGA-05-4415-01	LUAD	Primary Tumor	4.05
TCGA-05-4417-01	LUAD	Primary Tumor	5.45
TCGA-05-4418-01	LUAD	Primary Tumor	4.32
TCGA-05-4420-01	LUAD	Primary Tumor	5.73
TCGA-05-4422-01	LUAD	Primary Tumor	5.94
TCGA-05-4424-01	LUAD	Primary Tumor	5.22
TCGA-05-4425-01	LUAD	Primary Tumor	5.77
TCGA-05-4426-01	LUAD	Primary Tumor	5.83
TCGA-05-4427-01	LUAD	Primary Tumor	7.61
TCGA-05-4430-01	LUAD	Primary Tumor	7
TCGA-05-4432-01	LUAD	Primary Tumor	5.69
TCGA-05-4433-01	LUAD	Primary Tumor	5.64
TCGA-05-4434-01	LUAD	Primary Tumor	5.61
TCGA-05-5420-01	LUAD	Primary Tumor	5.84
TCGA-05-5423-01	LUAD	Primary Tumor	5.95
TCGA-05-5425-01	LUAD	Primary Tumor	5.03
TCGA-05-5428-01	LUAD	Primary Tumor	4.76
TCGA-05-5429-01	LUAD	Primary Tumor	5.66
TCGA-05-5715-01	LUAD	Primary Tumor	5.56
TCGA-18-3406-01	LUSC	Primary Tumor	5.22
TCGA-18-3407-01	LUSC	Primary Tumor	4.97
TCGA-18-3408-01	LUSC	Primary Tumor	5.1
TCGA-18-3409-01	LUSC	Primary Tumor	4.79
TCGA-18-3410-01	LUSC	Primary Tumor	5.63
TCGA-18-3411-01	LUSC	Primary Tumor	5.29
TCGA-18-3412-01	LUSC	Primary Tumor	4.64
TCGA-18-3414-01	LUSC	Primary Tumor	5.37
TCGA-18-3415-01	LUSC	Primary Tumor	6.06
TCGA-18-3416-01	LUSC	Primary Tumor	5.78
TCGA-18-3417-01	LUSC	Primary Tumor	4.72
TCGA-18-3419-01	LUSC	Primary Tumor	4.23
TCGA-18-3421-01	LUSC	Primary Tumor	4.85
TCGA-18-4083-01	LUSC	Primary Tumor	5.17
TCGA-18-4086-01	LUSC	Primary Tumor	5.5
TCGA-18-4721-01	LUSC	Primary Tumor	6.37
TCGA-18-5592-01	LUSC	Primary Tumor	5.64
TCGA-18-5595-01	LUSC	Primary Tumor	5.18
TCGA-21-1070-01	LUSC	Primary Tumor	5.44
TCGA-21-1071-01	LUSC	Primary Tumor	4.88
TCGA-21-1072-01	LUSC	Primary Tumor	6.02
TCGA-21-1075-01	LUSC	Primary Tumor	3.93
TCGA-21-1076-01	LUSC	Primary Tumor	5.83
TCGA-21-1077-01	LUSC	Primary Tumor	5.73
TCGA-21-1078-01	LUSC	Primary Tumor	5.5
TCGA-21-1079-01	LUSC	Primary Tumor	6.76
TCGA-21-1080-01	LUSC	Primary Tumor	5.84
TCGA-21-1081-01	LUSC	Primary Tumor	5.34
TCGA-21-1082-01	LUSC	Primary Tumor	5.42
TCGA-21-1083-01	LUSC	Primary Tumor	3.99
TCGA-21-5782-01	LUSC	Primary Tumor	5.59
TCGA-21-5783-01	LUSC	Primary Tumor	5.7
TCGA-21-5784-01	LUSC	Primary Tumor	6.48
TCGA-21-5786-01	LUSC	Primary Tumor	5
TCGA-21-5787-01	LUSC	Primary Tumor	4.06
TCGA-21-A5DI-01	LUSC	Primary Tumor	4.25
TCGA-22-0940-01	LUSC	Primary Tumor	5.37
TCGA-22-0944-01	LUSC	Primary Tumor	4.18
TCGA-22-1000-01	LUSC	Primary Tumor	5.95
TCGA-22-1002-01	LUSC	Primary Tumor	5.54
TCGA-22-1005-01	LUSC	Primary Tumor	5.89
TCGA-22-1011-01	LUSC	Primary Tumor	5.48
TCGA-22-1012-01	LUSC	Primary Tumor	3.9
TCGA-22-1016-01	LUSC	Primary Tumor	6.48
TCGA-22-1017-01	LUSC	Primary Tumor	5.66
TCGA-22-4591-01	LUSC	Primary Tumor	4.94
TCGA-22-4593-01	LUSC	Primary Tumor	5.43
TCGA-22-4593-11	LUSC	Solid Tissue Normal	6.05
TCGA-22-4594-01	LUSC	Primary Tumor	5.7
TCGA-22-4595-01	LUSC	Primary Tumor	6.48
TCGA-22-4596-01	LUSC	Primary Tumor	6.18
TCGA-22-4599-01	LUSC	Primary Tumor	5.93
TCGA-22-4601-01	LUSC	Primary Tumor	5.76
